,en,de,en_task
1341,"Although it is a bitter pill for us to swallow that the current marketing ban is to be extended by another five years as regards eleven tests and deferred for ten years in respect of three others , this is still a great forward advance in view of the Member States &apos; unwillingness to implement it and of the subsequent attempt at even completely abolishing the marketing ban , which we were successful in resisting .","Zwar ist es auch für uns ein Wermutstropfen , dass das gültige Vermarktungsverbot um weitere fünf Jahre für elf Tests verlängert wird und um zehn Jahre für andere drei Tests verschoben wird , aber angesichts des Unwillens der Mitgliedstaaten , dies umzusetzen , und des dann erfolgten Versuchs , das Vermarktungsverbot sogar ganz abzuschaffen , gegen das wir uns erfolgreich gewehrt haben , bleibt es dennoch ein gewaltiger Schritt nach vorne .","translate English to German: Although it is a bitter pill for us to swallow that the current marketing ban is to be extended by another five years as regards eleven tests and deferred for ten years in respect of three others , this is still a great forward advance in view of the Member States &apos; unwillingness to implement it and of the subsequent attempt at even completely abolishing the marketing ban , which we were successful in resisting ."
1342,That will be a unique opportunity to pass on our message .,"Das wird eine hervorragende Gelegenheit sein , unsere Botschaft zu übermitteln .",translate English to German: That will be a unique opportunity to pass on our message .
1343,We must all pull together in order to maintain and intensify the dynamics of reform that have developed among our partners .,"Wir müssen alle zusammen helfen , um die bestehende Reformdynamik bei unseren Partnern aufrechtzuerhalten und zu vertiefen .",translate English to German: We must all pull together in order to maintain and intensify the dynamics of reform that have developed among our partners .
1345,"The many leisure areas offer an invitation to relax , either alone or in company , to read , take it easy or have fun ...","In unserem Haus gibt es viele gemütliche Bereiche , die zum Faulenzen einladen , wo man allein oder zu mehreren lesen , sich entspannen und unterhalten kann ..","translate English to German: The many leisure areas offer an invitation to relax , either alone or in company , to read , take it easy or have fun ..."
1346,"However , you will be pleased to know that this evening the Conference of Presidents has approved the change in the title of my report .","Es wird Sie sicherlich freuen zu erfahren , dass die Konferenz der Präsidenten heute Abend der Änderung des Titels meines Berichts zugestimmt hat .","translate English to German: However , you will be pleased to know that this evening the Conference of Presidents has approved the change in the title of my report ."
1347,"I should therefore like to know what guarantees are to be given for the future of farmers in Padania and Europe , so as to protect their incomes and their technical and human resources .","Ich bitte daher , mir zu erläutern , welche Garantien es für die Zukunft der Landwirte der Poebene und ganz Europas gibt , damit ihre Einkommen , ihr technisches und ihr Arbeitskräftepotential geschützt werden .","translate English to German: I should therefore like to know what guarantees are to be given for the future of farmers in Padania and Europe , so as to protect their incomes and their technical and human resources ."
1348,The compact format and the light weight make it easy to take the camera along in your pocket .,"Das kompakte Format und das geringe Gewicht machen alles andere als beschwerlich , die Kamera mitzunehmen .",translate English to German: The compact format and the light weight make it easy to take the camera along in your pocket .
1349,This is the Roma issue with all its intricacies in a nutshell .,Damit haben wir die Vielschichtigkeit des Roma-Problems im übrigen nur angedeutet .,translate English to German: This is the Roma issue with all its intricacies in a nutshell .
1350,"As we know , Member States all too often agree to what should be legally-binding targets in the certain knowledge that the pathetically cumbersome enforcement procedures that the Commission has at its disposal will mean that they never actually have to meet those targets within anything like the timescales proposed .","Wie wir wissen , stimmen die Mitgliedstaaten allzu oft eigentlich rechtlich verbindlichen Zielen in dem genauen Wissen zu , dass die unglaublich schwerfälligen Durchsetzungsverfahren , die die Kommission zur Verfügung hat , bedeuten , dass sie diesen Zielen niemals auch nur ansatzweise im vorgeschlagenen Zeitrahmen entsprechen müssen .","translate English to German: As we know , Member States all too often agree to what should be legally-binding targets in the certain knowledge that the pathetically cumbersome enforcement procedures that the Commission has at its disposal will mean that they never actually have to meet those targets within anything like the timescales proposed ."
1351,One of the ladies on reception ( Paulie ) was absolutely wonderful - she gave us loads of great advice about good places to go and how to get there and was really useful in helping us out with requests .,"Ich habe für die Zukunft mein Hotel in Berlin gefunden ! Sehr freundliches Personal , super saubere Zimmer , großes sehr gepflegtes Bad .",translate English to German: One of the ladies on reception ( Paulie ) was absolutely wonderful - she gave us loads of great advice about good places to go and how to get there and was really useful in helping us out with requests .
1352,In the second update i wear ultra high black leather pumps and again my hot nylons . Have fun with my new update and take care !,"Leider bin ich mit meinen letzten Einkäufen bezüglich Nylons absolut unzufrieden gewesen , solltet Ihr einen guten Shop kennen oder Ihr wollt mir neue Nylons schenken , so würde ich mich sehr darüber freuen , sollte ich eine Nachricht oder Post von Euch bekommen .",translate English to German: In the second update i wear ultra high black leather pumps and again my hot nylons . Have fun with my new update and take care !
1353,However it was difficult to pass on increased costs in the very competitive market for color-coated products .,"In dem hart umkämpften Color-Markt war es allerdings schwierig , die gestiegenen Kosten weiterzugeben .",translate English to German: However it was difficult to pass on increased costs in the very competitive market for color-coated products .
